2025-10-22 18:29:50.887; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:29:50.890; INFO; AC_FDSPlugIn; 16056; 29916] CallLibrary Start
2025-10-22 18:29:50.890; INFO; AC_FDSPlugIn; 16056; 29916] CallLibrary End
2025-10-22 18:29:53.806; INFO; Loopback Stream; 16056; 6548] CallLibrary Start
2025-10-22 18:29:53.806; INFO; Loopback Stream; 16056; 6548] CallLibrary End
2025-10-22 18:30:09.983; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=2c080e, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:09.989; INFO; AC_FDSPlugIn; 16056; 14864] CallLibrary Start
2025-10-22 18:30:09.989; INFO; AC_FDSPlugIn; 16056; 14864] CallLibrary End
2025-10-22 18:30:13.961; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:13.964; INFO; AC_FDSPlugIn; 16056; 16812] CallLibrary Start
2025-10-22 18:30:13.964; INFO; AC_FDSPlugIn; 16056; 16812] CallLibrary End
2025-10-22 18:30:23.825; INFO; Loopback Stream; 16056; 30704] CallLibrary Start
2025-10-22 18:30:23.825; INFO; Loopback Stream; 16056; 30704] CallLibrary End
2025-10-22 18:30:29.049; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=69095a, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:29.058; INFO; AC_FDSPlugIn; 16056; 552] CallLibrary Start
2025-10-22 18:30:29.058; INFO; AC_FDSPlugIn; 16056; 552] CallLibrary End
2025-10-22 18:30:30.682; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=c0994, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:30.691; INFO; AC_FDSPlugIn; 16056; 27492] CallLibrary Start
2025-10-22 18:30:30.691; INFO; AC_FDSPlugIn; 16056; 27492] CallLibrary End
2025-10-22 18:30:44.589; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=64805f4, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:44.592; INFO; AC_FDSPlugIn; 16056; 11784] CallLibrary Start
2025-10-22 18:30:44.592; INFO; AC_FDSPlugIn; 16056; 11784] CallLibrary End
2025-10-22 18:30:47.191; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=ad0a56, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:47.195; INFO; AC_FDSPlugIn; 16056; 13684] CallLibrary Start
2025-10-22 18:30:47.195; INFO; AC_FDSPlugIn; 16056; 13684] CallLibrary End
2025-10-22 18:30:49.254; INFO; AC_FDSPlugIn; 16056; 18868] BroadcastForegroundEvent: HWND=2b08ac, pid=15356, type=WIN32, path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe, origin_path=C:\Users\chefb\AppData\Local\Programs\Microsoft VS Code\Code.exe
2025-10-22 18:30:49.256; INFO; AC_FDSPlugIn; 16056; 12304] CallLibrary Start
2025-10-22 18:30:49.256; INFO; AC_FDSPlugIn; 16056; 12304] CallLibrary End
